DoW,Mon,Hour,Detected,Real
Thursday,10,1,15,235
Wednesday,10,1,13,189
Thursday,10,0,4,46
Saturday,10,0,1,45
Tuesday,10,0,6,26
Friday,10,1,9,354
Sunday,10,2,5,233
Thursday,10,1,12,265
Tuesday,10,0,7,17
Wednesday,10,1,12,191
Thursday,10,1,13,304
Friday,10,0,1,30
Saturday,10,2,6,159
Wednesday,10,1,11,175
Saturday,10,1,11,180
Thursday,10,0,4,25
Tuesday,10,1,15,178
Sunday,10,2,2,147
Saturday,10,0,18,166
Thursday,10,0,1,49
Thursday,10,0,3,21
Thursday,10,0,4,52
Monday,10,2,7,194
Friday,10,0,1,21
Wednesday,10,2,12,165
Thursday,10,1,16,182
Tuesday,10,1,19,201
Friday,10,0,4,38
Sunday,10,1,5,131
Friday,10,0,4,22
Tuesday,10,1,19,183
Sunday,10,2,9,361
Monday,10,2,3,65
Saturday,10,1,11,304
Wednesday,10,0,2,16
Monday,10,2,7,171
Friday,10,2,9,237
Saturday,10,1,7,191
Wednesday,10,0,7,73
Tuesday,10,2,1,37
Saturday,10,0,11,187
Thursday,10,1,23,233
Monday,10,2,17,365
Thursday,10,1,11,38
Sunday,10,2,4,85
Friday,10,2,3,96
Thursday,10,1,10,267
Friday,10,0,18,237
Friday,10,1,13,326
Wednesday,10,2,6,152
Sunday,10,1,3,162
Sunday,10,1,4,81
Friday,10,1,21,351
Friday,10,0,3,49
Thursday,10,1,13,304
Saturday,10,1,4,190
Sunday,10,1,13,254
Saturday,10,1,16,370
Monday,10,0,2,20
Monday,10,0,1,20
Thursday,10,0,4,33
Thursday,10,1,8,178
Saturday,10,1,11,289
Saturday,10,0,5,64
Thursday,10,0,5,196
Saturday,10,0,3,49
Monday,10,0,3,18
Friday,10,1,8,292
Sunday,10,0,2,71
Saturday,10,1,9,250
Saturday,10,2,6,77
Thursday,10,0,3,29
Friday,10,2,9,168
Thursday,10,1,20,232
Wednesday,10,2,16,201
Saturday,10,1,9,259
Wednesday,10,0,12,238
Wednesday,10,2,5,167
Sunday,10,1,6,101
Tuesday,10,0,2,24
Wednesday,10,1,7,184
Friday,10,0,2,22
Sunday,10,1,5,197
Thursday,10,0,9,240
Thursday,10,0,1,13
Friday,10,2,3,150
Thursday,10,0,4,95
Saturday,10,2,2,82
Tuesday,10,0,18,211
Tuesday,10,0,10,86
Monday,10,0,2,36
Thursday,10,2,1,80
Friday,10,0,3,45
Wednesday,10,0,2,30
Friday,10,0,3,43
Monday,10,2,1,170
Sunday,10,0,2,41
Tuesday,10,1,8,173
Friday,10,1,27,386
Tuesday,10,1,16,225
Saturday,10,1,8,233
Thursday,10,1,8,269
Friday,10,2,7,148
Sunday,10,1,4,190
Monday,10,0,5,21
Thursday,10,1,16,210
Thursday,10,1,12,316
Monday,10,0,1,19
Tuesday,10,0,12,77
Monday,10,1,21,217
Friday,10,1,19,222
Thursday,10,0,10,221
Tuesday,10,0,1,32
Monday,10,1,19,523
Saturday,10,0,2,23
Saturday,10,2,4,208
Friday,10,1,19,316
