5
#n time_relat_102	time_relat_112	time_relat_122	time_relat_132	time_relat_142
0	0.792897498	0.113640032	0	0.09346247
1	0	0	0	0
0	0	0	0.5	0.5
1	0	0	0	0
1	0	0	0	0
0.033333333	0.763565891	0	0	0.203100775
1	0	0	0	0
0	1	0	0	0
0.040009641	0.613882863	0.259098578	0.036635334	0.050373584
0	0	0	0.171875	0.828125
0.5	0	0	0	0.5
0	0.482824002	0.020633504	0	0.496542494
0	0.298818624	0	0	0.701181376
0.142857143	0	0	0.571428571	0.285714286
0	0.7205728	0.270430349	0.008996851	0
1	0	0	0	0
0.137539734	0.254332297	0.105068872	0.206856479	0.296202618
1	0	0	0	0
1	0	0	0	0
0.032566555	0.729904368	0	0.122770742	0.114758335
0	0.472522198	0.522918167	0	0.004559635
1	0	0	0	0
0	1	0	0	0
0	0.901345845	0.056426719	0.014199284	0.028028152
0	0.798580302	0.054520359	0	0.146899339
0.175645756	0.742107421	0.003526035	0.01098811	0.067732677
0.939271255	0.060728745	0	0	0
1	0	0	0	0
0	0.811703171	0.188296829	0	0
0.002963451	0.429832071	0.073230161	0.079618044	0.414356273
0	1	0	0	0
0	0	0	1	0
0	0	0	1	0
0.005978477	0.994021523	0	0	0
0.026526835	0.350092535	0.623380629	0	0
0	0.534812287	0.259385666	0.018088737	0.187713311
0	0	0	0	1
0.095164246	0.36937826	0.204144932	0	0.331312562
0.00137931	0.904551724	0.018574713	0.039172414	0.036321839
0	0	0	0.450867052	0.549132948
0	0.794505887	0.111666072	0.079914377	0.013913664
0.053398058	0	0	0.45631068	0.490291262
0	0	0	1	0
0.008686111	0.064825821	0.899332541	0.010880497	0.01627503
0	0	0	1	0
0	0.844	0.079647059	0.012705882	0.063647059
0.171737661	0.518593644	0	0.148749155	0.16091954
0	0	0	1	0
0.367713004	0.632286996	0	0	0
0	0.954453441	0.045546559	0	0
0.229110512	0	0	0.212938005	0.557951482
0	0	0	0	1
0.021568627	0	0	0.476470588	0.501960784
0	0.939077237	0	0.030333928	0.030588835
0	0.802832137	0.072376832	0.062641361	0.062149671
0.50935219	0.219434307	0.122490876	0.036040146	0.112682482
0	0	0	0.480861244	0.519138756
0.008601465	0.822554954	0	0.085855368	0.082988213
0	1	0	0	0
0.009408602	0.745967742	0.244623656	0	0
0	0.983623337	0.004094166	0	0.012282497
0.015570934	0.433823529	0.28416955	0.220155709	0.046280277
0.526984127	0	0	0	0.473015873
0	0	0	1	0
0.113427562	0.813780919	0.072791519	0	0
0	0.925359712	0	0.074640288	0
0	0.851538366	0	0.063944149	0.084517484
0	1	0	0	0
0.42869379	0.188543897	0.034475375	0.033190578	0.31509636
0	0	0	1	0
0	1	0	0	0
0.019470405	0.325545171	0	0.306074766	0.348909657
1	0	0	0	0
0.166069295	0.603743528	0.118677818	0.043807248	0.067702111
0.008207311	0	0	0.479443727	0.512348963
0	0	0	0.020408163	0.979591837
0.109814143	0.702969175	0.14505893	0.018019039	0.024138713
0.005109183	0.807950728	0.094764838	0.035764278	0.056410974
0.041773421	0.280271806	0.527681854	0.028405926	0.121866993
0.352173913	0.647826087	0	0	0
0.890821836	0	0	0.072585483	0.036592681
0	1	0	0	0
0.189661449	0.296687295	0.147918942	0.03264167	0.333090644
0.006646726	0.984712529	0	0.008640744	0
0.754166667	0.245833333	0	0	0
0	0.534883721	0.465116279	0	0
0.064961671	0.911247687	0	0.007930214	0.015860428
0.028879579	0.890988502	0	0.03502986	0.045102059
0	0	0	0.902360944	0.097639056
0	0	1	0	0
0	0	0	1	0
0.010413885	0.445660881	0	0.038184246	0.505740988
0	1	0	0	0
0	0.146683673	0.335459184	0	0.517857143
0	0	1	0	0
0	0	0	0.710691824	0.289308176
0.092958724	0.297433229	0.012140132	0.017863337	0.579604579
0	0	0	1	0
0	0	0	1	0
0.009775399	0.360642383	0.017688816	0.026882346	0.585011056
0	1	0	0	0
1	0	0	0	0
1	0	0	0	0
0	0.583463339	0.416536661	0	0
0	0	0	1	0
0.979185939	0	0	0	0.020814061
1	0	0	0	0
0.241947291	0.624267936	0.133784773	0	0
0	0	0	0.426285714	0.573714286
1	0	0	0	0
0	0	0	1	0
0	0.818154312	0	0.018154312	0.163691377
1	0	0	0	0
0	1	0	0	0
0	0	0	0.547104581	0.452895419
0	0	0	1	0
0	0	0	1	0
1	0	0	0	0
0.444215484	0.555784516	0	0	0
0	0	0	1	0
0	0.678687762	0.098883201	0.032805956	0.189623081
1	0	0	0	0
0.015336741	0.519226495	0	0.122693932	0.342742832
0.129554656	0.673221515	0.085598612	0.01995373	0.091671486
0	0	0	1	0
0	0.970253467	0.005451937	0.024294596	0
0	0	0	1	0
0	0	0	0.893577982	0.106422018
0.597739362	0.003324468	0	0	0.39893617
0	0.5	0	0.5	0
0	0.87033667	0	0	0.12966333
0.020425227	0.503344482	0.148112757	0.033444816	0.294672719
0	0.622496148	0	0.030816641	0.346687211
0.037495278	0.217038156	0.643464299	0	0.102002267
0	1	0	0	0
0.222350041	0.535579293	0	0.002465078	0.239605588
