"","idSensor","idDispositivo","tinicio","tfin","Obsoleto","duracion_s","tDB","sincio","sfin","fabricante","naturaleza","etiqueta","majordeviceclass","minordeviceclass","serviceclass"
"60","112","9BD9316D69B5EA202E126BCA79CF26E6A77B3208",2015-09-27 06:53:23,2015-09-27 07:18:36,0,1512,"2015-09-27 09:31:34.873",-53,-64,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"61","142","6E37FC08FF4B925F8C77366AC34FF48EB75CDA60",2015-09-27 06:45:25,2015-09-27 07:18:06,0,1960,"2015-09-27 06:48:20.770",-80,-80,"APPLE","BLUETOOTH",NA,"","",""
"62","112","28B06B72C559A132532940F28D0FA79769469256",2015-09-27 06:46:48,2015-09-27 07:17:59,0,1871,"2015-09-27 09:31:34.873",-69,-68,"BQ","WIFI",NA,"","",""
"63","112","D9DABCC7461D030A6EFEF74E16C8E5FB0D231D6C",2015-09-27 06:43:31,2015-09-27 07:17:52,0,2060,"2015-09-27 09:21:57.387",-73,-73,"SONY MOBILE MUNICATIONS AB","WIFI",NA,"","",""
"64","112","95A912FBF815B915B889AB5C55390B947BAD781C",2015-09-27 06:09:02,2015-09-27 07:17:44,0,4121,"2015-09-27 08:43:40.639",-76,-80,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"65","122","11B2EB279598CD73B5952BCAFD53712324622456",2015-09-27 06:46:57,2015-09-27 07:17:43,0,1846,"2015-09-27 06:54:03.937",-63,-68,"SONY MOBILE MUNICATIONS AB","WIFI",NA,"","",""
"66","112","77AA7874D3F4EA3EBFA133AD5B8D5D620C468AAA",2015-09-27 05:58:50,2015-09-27 07:17:43,0,4732,"2015-09-27 08:24:32.308",-66,-64,"LG ELECTRONICS","WIFI",NA,"","",""
"67","112","53FCCBF241C6E6DDD4F07E492D4B4A9F767ACD26",2015-09-27 06:38:16,2015-09-27 07:17:41,0,2365,"2015-09-27 09:21:57.387",-79,-79,"LG ELECTRONICS","WIFI",NA,"","",""
"68","112","63E7D52428F4AB724262857A1DD0FC49FD5C9947",2015-09-27 06:59:56,2015-09-27 07:16:28,0,991,"2015-09-27 09:41:10.224",-58,-56,"MURATA MANUFACTUARING","WIFI",NA,"","",""
"69","112","7F1193B862F38D5125AE69D53830F2E93C4A8F36",2015-09-27 06:17:23,2015-09-27 07:16:20,0,3536,"2015-09-27 08:53:15.790",-77,-77,"APPLE","BLUETOOTH",NA,"","",""
"70","142","6D37045CF3FE0F676BE411B923F87B69C8743DB9",2015-09-27 05:54:02,2015-09-27 07:16:05,0,4923,"2015-09-27 05:59:13.115",-79,-80,"HUAWEI TECHNOLOGIES","BLUETOOTH",NA,"","",""
"71","112","452B9ACFFA1D88CCE6AB684547FD80979064224E",2015-09-27 06:20:02,2015-09-27 07:15:01,0,3299,"2015-09-27 08:53:15.790",-79,-78,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"72","122","F70BE25C5213546B83DDDAE82BF70A88DA14A801",2015-09-27 05:59:26,2015-09-27 07:15:00,0,4534,"2015-09-27 06:04:32.543",-56,-58,"APPLE","WIFI",NA,"","",""
"73","112","15E1A2BB49E027F3B6E1212E186D998B5A3BC832",2015-09-27 06:46:04,2015-09-27 07:14:30,0,1706,"2015-09-27 09:31:34.873",-61,-66,"BQ","WIFI",NA,"","",""
"74","112","A670064660C7BB7C8C91571FBC635B925B01FD1D",2015-09-27 06:46:44,2015-09-27 07:14:03,0,1639,"2015-09-27 09:31:34.873",-73,-70,"APPLE","WIFI",NA,"","",""
"75","112","2B28EA0E4DD3DB326EC43A8F19290871AAAD4C55",2015-09-27 06:59:28,2015-09-27 07:13:48,0,859,"2015-09-27 09:41:10.224",-80,-80,"HTC PORATION","WIFI",NA,"","",""
"76","112","9371ECC667AE812011FBDF3D6F0E55C17D47A739",2015-09-27 06:51:51,2015-09-27 07:13:19,0,1287,"2015-09-27 09:31:34.873",-74,-72,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
"77","112","772DB0E16D4F48E1909635FC960CD0B07DB5E6F3",2015-09-27 06:44:55,2015-09-27 07:13:11,0,1696,"2015-09-27 09:21:57.387",-76,-80,"SONY MOBILE MUNICATIONS AB","WIFI",NA,"","",""
"78","132","D15C9A4E734954398229FBC3180AE74918802B8B",2015-09-27 06:42:53,2015-09-27 07:13:03,0,1810,"2015-09-27 06:48:15.252",-80,-80,"TREND PORATION","WIFI",NA,"","",""
"79","112","6F4A64C3749D1EC2A2CE52391921037477DEDBF0",2015-09-27 06:50:24,2015-09-27 07:12:47,0,1343,"2015-09-27 09:31:34.873",-68,-64,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
"80","112","54BF27A6AC020FC08A33448ACF0291A64690563E",2015-09-27 06:38:53,2015-09-27 07:12:42,0,2029,"2015-09-27 09:21:57.387",-56,-55,"APPLE","WIFI",NA,"","",""
"81","112","460A4EB2BBF3F2C26AF98AE3F182DA4F555B7D09",2015-09-27 06:47:07,2015-09-27 07:12:36,0,1529,"2015-09-27 09:31:34.873",-78,-78,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"82","112","58AA38FA2D0C75E9D943A3509682AE1294BD4C0D",2015-09-27 06:36:09,2015-09-27 07:12:13,0,2164,"2015-09-27 09:12:24.498",-73,-73,"APPLE","WIFI",NA,"","",""
"83","112","057E8AB1CF19E3376B00512D6E39E057801B4CF5",2015-09-27 06:45:45,2015-09-27 07:11:54,0,1569,"2015-09-27 09:31:34.873",-71,-73,"MURATA MANUFACTUARING","WIFI",NA,"","",""
"84","112","170B146F0EDCC1DF550AC9B7FB9C9231351E7BD2",2015-09-27 06:55:17,2015-09-27 07:11:22,0,964,"2015-09-27 09:41:10.224",-77,-77,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"85","112","494DE9433165DFAB5457A72A2750F9B0F63AC47E",2015-09-27 06:55:58,2015-09-27 07:11:10,0,912,"2015-09-27 09:41:10.224",-77,-79,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"86","112","BA0394EDC994AEB96AA4C108EC451AD3A98704A1",2015-09-27 05:41:12,2015-09-27 07:11:05,0,5393,"2015-09-27 07:56:01.274",-57,-63,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"87","142","0C343D6CED6878E1EFFBB9B0770FE7CA300DC160",2015-09-27 06:44:22,2015-09-27 07:10:59,0,1596,"2015-09-27 06:48:20.770",-62,-79,"MOTOROLA MOBILITY LLC","WIFI",NA,"","",""
"88","122","1F351E5092917C0C565DF353CE974A9C540D978D",2015-09-27 05:42:48,2015-09-27 07:10:49,0,5280,"2015-09-27 05:48:03.720",-66,-61,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"89","122","5DDF293C8FFA72E89C3341229949E57043F9BCC4",2015-09-27 06:33:20,2015-09-27 07:10:42,0,2242,"2015-09-27 06:37:34.486",-79,-79,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"90","112","71415F4A3FA866F23D753F31EC867C8F817256DD",2015-09-27 06:44:32,2015-09-27 07:10:41,0,1569,"2015-09-27 09:21:57.387",-63,-60,"XIAOMI PORATION","WIFI",NA,"","",""
"91","112","1D583BEC014A1ABA73F5E6630538DC62D1417250",2015-09-27 06:58:43,2015-09-27 07:10:37,0,713,"2015-09-27 09:41:10.224",-77,-77,"APPLE","WIFI",NA,"","",""
"92","112","822B7B977A7660929A26695EE732616B295BFEB8",2015-09-27 06:57:04,2015-09-27 07:10:37,0,813,"2015-09-27 09:41:10.224",-62,-64,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"93","122","822B7B977A7660929A26695EE732616B295BFEB8",2015-09-27 06:57:03,2015-09-27 07:10:34,0,811,"2015-09-27 06:59:34.146",-80,-80,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
