19
#n ent_time	out_time	stay_time	total_time	abs_time_n102	abs_time_n112	abs_time_n122	abs_time_n132	abs_time_n142	rel_time_vic_n102	rel_time_vic_n112	rel_time_vic_n122	rel_time_vic_n132	rel_time_vic_n142	rel_time_nig_n102	rel_time_nig_n112	rel_time_nig_n122	rel_time_nig_n132	rel_time_nig_n142
21657.27613	34197.26926	12539.99313	7288	2300	3174	1059	204	551	0.315587267	0.435510428	0.145307355	0.027991218	0.075603732	0.049145299	0.067820513	0.022628205	0.004358974	0.011773504
41449.26528	42307.26481	857.9995298	858	858	0	0	0	0	1	0	0	0	0	0.018333333	0	0	0	0
28939.27214	40450.26583	11510.99369	4737	0	4251	7	145	334	0	0.89740342	0.001477729	0.030610091	0.070508761	0	0.090833333	0.000149573	0.003098291	0.007136752
24326.27467	24343.27466	16.99999088	16	16	0	0	0	0	1	0	0	0	0	0.00034188	0	0	0	0
26028.27373	38300.26701	12271.99327	1785	377	134	950	122	202	0.211204482	0.075070028	0.532212885	0.068347339	0.113165266	0.008055556	0.002863248	0.020299145	0.002606838	0.004316239
19137.27751	33114.26985	13976.99234	4455	32	2959	1464	0	0	0.007182941	0.664197531	0.328619529	0	0	0.000683761	0.063226496	0.031282051	0	0
29610.27177	36778.26784	7167.996072	3920	0	3286	136	181	317	0	0.838265306	0.034693878	0.046173469	0.080867347	0	0.070213675	0.002905983	0.003867521	0.006773504
4840.285347	16166.27914	11325.99379	3656	0	0	0	2949	707	0	0	0	0.806619256	0.193380744	0	0	0	0.063012821	0.015106838
7648.283808	32363.27026	24714.98645	9238	0	8150	0	0	1088	0	0.88222559	0	0	0.11777441	0	0.174145299	0	0	0.023247863
25696.27392	37899.26723	12202.99331	2437	26	941	0	174	1296	0.010668855	0.386130488	0	0.071399261	0.531801395	0.000555556	0.020106838	0	0.003717949	0.027692308
28466.2724	35735.26841	7268.996016	4975	209	4204	0	149	413	0.04201005	0.845025126	0	0.029949749	0.083015075	0.004465812	0.08982906	0	0.003183761	0.008824786
333.2878173	1029.287436	695.9996184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17589.27836	25387.27409	7797.995726	1046	260	530	0	128	128	0.248565966	0.506692161	0	0.122370937	0.122370937	0.005555556	0.011324786	0	0.002735043	0.002735043
17105.27862	31617.27067	14511.99205	4249	852	3397	0	0	0	0.200517769	0.799482231	0	0	0	0.018205128	0.07258547	0	0	0
20641.27669	34950.26884	14308.99216	1458	441	732	276	4	5	0.302469136	0.502057613	0.189300412	0.002743484	0.003429355	0.009423077	0.015641026	0.005897436	8.55E-05	0.000106838
14190.28022	42344.26479	28153.98457	6209	1673	3677	0	0	859	0.269447576	0.592204864	0	0	0.13834756	0.035747863	0.078568376	0	0	0.018354701
19730.27719	39414.2664	19683.98921	69	28	41	0	0	0	0.405797101	0.594202899	0	0	0	0.000598291	0.000876068	0	0	0
21151.27641	26787.27332	5635.996911	5306	945	1241	159	547	2414	0.178100264	0.233886167	0.029966076	0.103090841	0.454956653	0.020192308	0.026517094	0.003397436	0.011688034	0.051581197
26422.27352	36338.26808	9915.994565	5229	424	2894	182	741	988	0.08108625	0.553451903	0.03480589	0.141709696	0.188946261	0.009059829	0.061837607	0.003888889	0.015833333	0.021111111
931.2874892	6768.28429	5836.996801	601	35	0	0	498	68	0.058236273	0	0	0.828618968	0.113144759	0.000747863	0	0	0.010641026	0.001452991
643.2876476	1233.287324	589.9996762	590	590	0	0	0	0	1	0	0	0	0	0.012606838	0	0	0	0
7023.28415	8390.283401	1366.999251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34847.2689	42545.26468	7697.995781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27209.27309	39502.26635	12292.99326	9122	0	1805	6715	293	309	0	0.197873273	0.736132427	0.032120149	0.03387415	0	0.038568376	0.143482906	0.006260684	0.006602564
20076.277	40208.26596	20131.98897	1752	0	1629	60	0	63	0	0.929794521	0.034246575	0	0.035958904	0	0.034807692	0.001282051	0	0.001346154
20297.27688	37105.26766	16807.99079	7993	0	4343	3650	0	0	0	0.543350432	0.456649568	0	0	0	0.092799145	0.077991453	0	0
10921.28201	11532.28168	610.9996646	90	0	0	0	90	0	0	0	0	1	0	0	0	0	0.001923077	0
1408.287228	4498.285534	3089.998306	728	0	0	0	728	0	0	0	0	1	0	0	0	0	0.015555556	0
34179.26927	42365.26478	8185.995513	988	45	664	0	0	279	0.045546559	0.672064777	0	0	0.282388664	0.000961538	0.014188034	0	0	0.005961538
24630.2745	37016.26771	12385.99321	7837	0	4178	3508	151	0	0	0.53311216	0.447620263	0.019267577	0	0	0.089273504	0.074957265	0.003226496	0
