"";"Fecha";"Calle";"Espiras";"Mobywit"
"218";2016-09-01 13:45:00;"Dr-Oloriz";0;41
"219";2016-09-01 13:45:00;"Méndez-Núñez";396;199
"220";2016-09-01 14:00:00;"Beiro-Andalucía";89;28
"221";2016-09-01 14:00:00;"Constitución";219;17
"222";2016-09-01 14:00:00;"Dr-Oloriz";0;42
"223";2016-09-01 14:00:00;"Méndez-Núñez";358;178
"224";2016-09-01 14:15:00;"Beiro-Andalucía";76;28
"225";2016-09-01 14:15:00;"Constitución";170;24
"226";2016-09-01 14:15:00;"Dr-Oloriz";0;49
"227";2016-09-01 14:15:00;"Méndez-Núñez";352;133
"228";2016-09-01 14:30:00;"Beiro-Andalucía";100;26
"229";2016-09-01 14:30:00;"Constitución";198;23
"230";2016-09-01 14:30:00;"Dr-Oloriz";0;45
"231";2016-09-01 14:30:00;"Méndez-Núñez";417;84
"232";2016-09-01 14:45:00;"Beiro-Andalucía";127;20
"233";2016-09-01 14:45:00;"Constitución";203;10
"234";2016-09-01 14:45:00;"Dr-Oloriz";0;40
"235";2016-09-01 14:45:00;"Méndez-Núñez";380;73
"236";2016-09-01 15:00:00;"Beiro-Andalucía";97;21
"237";2016-09-01 15:00:00;"Constitución";164;18
"238";2016-09-01 15:00:00;"Dr-Oloriz";0;49
"239";2016-09-01 15:00:00;"Méndez-Núñez";427;18
"240";2016-09-01 15:15:00;"Beiro-Andalucía";62;11
"241";2016-09-01 15:15:00;"Constitución";158;20
"242";2016-09-01 15:15:00;"Dr-Oloriz";0;22
"243";2016-09-01 15:15:00;"Méndez-Núñez";327;29
"244";2016-09-01 15:30:00;"Beiro-Andalucía";55;23
"245";2016-09-01 15:30:00;"Constitución";150;14
"246";2016-09-01 15:30:00;"Dr-Oloriz";0;34
"247";2016-09-01 15:30:00;"Méndez-Núñez";312;21
"248";2016-09-01 15:45:00;"Beiro-Andalucía";56;25
"249";2016-09-01 15:45:00;"Constitución";146;13
"250";2016-09-01 15:45:00;"Dr-Oloriz";0;29
"251";2016-09-01 15:45:00;"Méndez-Núñez";244;19
"252";2016-09-01 16:00:00;"Beiro-Andalucía";43;21
"253";2016-09-01 16:00:00;"Constitución";143;14
"254";2016-09-01 16:00:00;"Dr-Oloriz";0;28
"255";2016-09-01 16:00:00;"Méndez-Núñez";271;30
"256";2016-09-01 16:15:00;"Beiro-Andalucía";40;15
"257";2016-09-01 16:15:00;"Constitución";143;8
"258";2016-09-01 16:15:00;"Dr-Oloriz";0;41
"259";2016-09-01 16:15:00;"Méndez-Núñez";247;17
"260";2016-09-01 16:30:00;"Beiro-Andalucía";46;14
"261";2016-09-01 16:30:00;"Constitución";119;16
"262";2016-09-01 16:30:00;"Dr-Oloriz";0;25
"263";2016-09-01 16:30:00;"Méndez-Núñez";278;34
"264";2016-09-01 16:45:00;"Beiro-Andalucía";43;10
"265";2016-09-01 16:45:00;"Constitución";134;19
"266";2016-09-01 16:45:00;"Dr-Oloriz";0;34
"267";2016-09-01 16:45:00;"Méndez-Núñez";246;41
"268";2016-09-01 17:00:00;"Beiro-Andalucía";66;21
"269";2016-09-01 17:00:00;"Constitución";159;15
"270";2016-09-01 17:00:00;"Dr-Oloriz";0;37
"271";2016-09-01 17:00:00;"Méndez-Núñez";228;27
"272";2016-09-01 17:15:00;"Beiro-Andalucía";69;29
"273";2016-09-01 17:15:00;"Constitución";148;18
"274";2016-09-01 17:15:00;"Dr-Oloriz";0;31
"275";2016-09-01 17:15:00;"Méndez-Núñez";231;38
"276";2016-09-01 17:30:00;"Beiro-Andalucía";77;23
"277";2016-09-01 17:30:00;"Constitución";147;20
"278";2016-09-01 17:30:00;"Dr-Oloriz";0;43
"279";2016-09-01 17:30:00;"Méndez-Núñez";217;46
"280";2016-09-01 17:45:00;"Beiro-Andalucía";84;20
"281";2016-09-01 17:45:00;"Constitución";166;19
"282";2016-09-01 17:45:00;"Dr-Oloriz";0;35
"283";2016-09-01 17:45:00;"Méndez-Núñez";241;32
"284";2016-09-01 18:00:00;"Beiro-Andalucía";75;14
"285";2016-09-01 18:00:00;"Constitución";178;18
"286";2016-09-01 18:00:00;"Dr-Oloriz";0;26
"287";2016-09-01 18:00:00;"Méndez-Núñez";266;34
"288";2016-09-01 18:15:00;"Beiro-Andalucía";69;26
"289";2016-09-01 18:15:00;"Constitución";162;19
"290";2016-09-01 18:15:00;"Dr-Oloriz";0;34
"291";2016-09-01 18:15:00;"Méndez-Núñez";287;38
"292";2016-09-01 18:30:00;"Beiro-Andalucía";94;23
"293";2016-09-01 18:30:00;"Constitución";144;22
"294";2016-09-01 18:30:00;"Dr-Oloriz";0;27
"295";2016-09-01 18:30:00;"Méndez-Núñez";248;50
"296";2016-09-01 18:45:00;"Beiro-Andalucía";81;17
"297";2016-09-01 18:45:00;"Constitución";184;17
"298";2016-09-01 18:45:00;"Dr-Oloriz";0;30
"299";2016-09-01 18:45:00;"Méndez-Núñez";251;42
"300";2016-09-01 19:00:00;"Beiro-Andalucía";80;26
"301";2016-09-01 19:00:00;"Constitución";178;23
"302";2016-09-01 19:00:00;"Dr-Oloriz";0;31
"303";2016-09-01 19:00:00;"Méndez-Núñez";271;38
"304";2016-09-01 19:15:00;"Beiro-Andalucía";80;9
"305";2016-09-01 19:15:00;"Constitución";158;26
"306";2016-09-01 19:15:00;"Dr-Oloriz";0;33
"307";2016-09-01 19:15:00;"Méndez-Núñez";248;36
"308";2016-09-01 19:30:00;"Beiro-Andalucía";78;11
"309";2016-09-01 19:30:00;"Constitución";176;24
"310";2016-09-01 19:30:00;"Dr-Oloriz";0;34
"311";2016-09-01 19:30:00;"Méndez-Núñez";264;41
"312";2016-09-01 19:45:00;"Beiro-Andalucía";76;24
"313";2016-09-01 19:45:00;"Constitución";169;25
"314";2016-09-01 19:45:00;"Dr-Oloriz";0;44
"315";2016-09-01 19:45:00;"Méndez-Núñez";258;43
"316";2016-09-01 20:00:00;"Beiro-Andalucía";87;28
"317";2016-09-01 20:00:00;"Constitución";188;13
"318";2016-09-01 20:00:00;"Dr-Oloriz";0;41
"319";2016-09-01 20:00:00;"Méndez-Núñez";329;26
"320";2016-09-01 20:15:00;"Beiro-Andalucía";79;19
"321";2016-09-01 20:15:00;"Constitución";176;17
"322";2016-09-01 20:15:00;"Dr-Oloriz";0;44
"323";2016-09-01 20:15:00;"Méndez-Núñez";280;39
"324";2016-09-01 20:30:00;"Beiro-Andalucía";86;28
"325";2016-09-01 20:30:00;"Constitución";162;19
"326";2016-09-01 20:30:00;"Dr-Oloriz";0;35
"327";2016-09-01 20:30:00;"Méndez-Núñez";299;38
"328";2016-09-01 20:45:00;"Beiro-Andalucía";74;24
"329";2016-09-01 20:45:00;"Constitución";169;11
"330";2016-09-01 20:45:00;"Dr-Oloriz";0;25
"331";2016-09-01 20:45:00;"Méndez-Núñez";285;28
"332";2016-09-01 21:00:00;"Beiro-Andalucía";79;21
"333";2016-09-01 21:00:00;"Constitución";178;15
"334";2016-09-01 21:00:00;"Dr-Oloriz";0;22
"335";2016-09-01 21:00:00;"Méndez-Núñez";265;31
"336";2016-09-01 21:15:00;"Beiro-Andalucía";73;21
"337";2016-09-01 21:15:00;"Constitución";139;14
"338";2016-09-01 21:15:00;"Dr-Oloriz";0;26
"339";2016-09-01 21:15:00;"Méndez-Núñez";249;29
"340";2016-09-01 21:30:00;"Beiro-Andalucía";84;14
"341";2016-09-01 21:30:00;"Constitución";132;25
"342";2016-09-01 21:30:00;"Dr-Oloriz";0;33
"343";2016-09-01 21:30:00;"Méndez-Núñez";220;21
"344";2016-09-01 21:45:00;"Beiro-Andalucía";92;13
"345";2016-09-01 21:45:00;"Constitución";150;23
"346";2016-09-01 21:45:00;"Dr-Oloriz";0;33
"347";2016-09-01 21:45:00;"Méndez-Núñez";273;16
"348";2016-09-01 22:00:00;"Beiro-Andalucía";84;18
"349";2016-09-01 22:00:00;"Constitución";148;18
"350";2016-09-01 22:00:00;"Dr-Oloriz";0;20
"351";2016-09-01 22:00:00;"Méndez-Núñez";288;18
"352";2016-09-01 22:15:00;"Beiro-Andalucía";42;10
"353";2016-09-01 22:15:00;"Constitución";127;14
"354";2016-09-01 22:15:00;"Dr-Oloriz";0;18
"355";2016-09-01 22:15:00;"Méndez-Núñez";288;19
"356";2016-09-01 22:30:00;"Beiro-Andalucía";51;11
"357";2016-09-01 22:30:00;"Constitución";116;16
"358";2016-09-01 22:30:00;"Dr-Oloriz";0;17
"359";2016-09-01 22:30:00;"Méndez-Núñez";228;16
"360";2016-09-01 22:45:00;"Beiro-Andalucía";24;7
"361";2016-09-01 22:45:00;"Constitución";90;7
"362";2016-09-01 22:45:00;"Dr-Oloriz";0;19
"363";2016-09-01 22:45:00;"Méndez-Núñez";159;13
"364";2016-09-01 23:00:00;"Beiro-Andalucía";35;6
"365";2016-09-01 23:00:00;"Constitución";108;7
"366";2016-09-01 23:00:00;"Dr-Oloriz";0;14
"367";2016-09-01 23:00:00;"Méndez-Núñez";173;17
"368";2016-09-01 23:15:00;"Beiro-Andalucía";38;10
"369";2016-09-01 23:15:00;"Constitución";77;5
"370";2016-09-01 23:15:00;"Dr-Oloriz";0;14
"371";2016-09-01 23:15:00;"Méndez-Núñez";171;11
"372";2016-09-01 23:30:00;"Beiro-Andalucía";29;6
"373";2016-09-01 23:30:00;"Constitución";85;7
"374";2016-09-01 23:30:00;"Dr-Oloriz";0;14
"375";2016-09-01 23:30:00;"Méndez-Núñez";170;15
"376";2016-09-01 23:45:00;"Beiro-Andalucía";22;4
"377";2016-09-01 23:45:00;"Constitución";102;2
"378";2016-09-01 23:45:00;"Dr-Oloriz";0;7
"379";2016-09-01 23:45:00;"Méndez-Núñez";152;9
"380";2016-09-02 00:00:00;"Beiro-Andalucía";23;8
"381";2016-09-02 00:00:00;"Constitución";73;5
"382";2016-09-02 00:00:00;"Dr-Oloriz";0;13
"383";2016-09-02 00:00:00;"Méndez-Núñez";150;13
"384";2016-09-02 00:15:00;"Beiro-Andalucía";20;8
"385";2016-09-02 00:15:00;"Constitución";83;6
"386";2016-09-02 00:15:00;"Dr-Oloriz";0;22
"387";2016-09-02 00:15:00;"Méndez-Núñez";179;11
"388";2016-09-02 00:30:00;"Beiro-Andalucía";15;5
"389";2016-09-02 00:30:00;"Constitución";65;3
"390";2016-09-02 00:30:00;"Dr-Oloriz";0;16
"391";2016-09-02 00:30:00;"Méndez-Núñez";136;13
"392";2016-09-02 00:45:00;"Beiro-Andalucía";18;8
"393";2016-09-02 00:45:00;"Constitución";74;5
"394";2016-09-02 00:45:00;"Dr-Oloriz";0;11
"395";2016-09-02 00:45:00;"Méndez-Núñez";138;12
"396";2016-09-02 01:00:00;"Beiro-Andalucía";17;4
"397";2016-09-02 01:00:00;"Constitución";56;3
"398";2016-09-02 01:00:00;"Dr-Oloriz";0;13
"399";2016-09-02 01:00:00;"Méndez-Núñez";118;8
