5
#n time_102	time_112	time_122	time_132	time_142
3	0	0	0	0
0	251	0	0	0
0	0	0	94	0
34	1441	1185	0	449
74	0	0	0	0
40	2473	97	0	0
7	0	0	0	0
23	547	125	0	0
19	0	0	652	965
0	0	0	60	3
0	155	0	1362	493
0	0	0	0	284
925	2115	0	676	275
0	0	0	0	0
0	0	0	232	0
0	0	0	0	0
0	0	0	0	0
27	0	0	0	0
129	224	0	0	615
0	395	0	99	651
0	0	0	0	246
0	0	114	0	0
0	0	0	0	0
182	0	0	0	0
0	0	0	1225	45
76	5488	2628	1094	1837
1035	8001	0	0	0
1881	0	924	0	0
0	0	0	0	0
0	0	0	1074	0
0	0	0	0	0
333	0	0	0	0
0	474	2793	2423	2544
114	110	205	0	0
27	6607	120	94	561
193	1248	196	0	0
80	7926	0	306	1293
63	689	0	268	42
61	987	5601	71	1169
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	2417	4327	81	1483
53	0	0	0	0
0	0	0	4	0
0	0	0	0	0
0	894	0	0	0
142	10368	8504	0	0
0	0	0	0	0
0	3074	7766	194	0
0	0	0	0	0
0	0	0	14	0
191	5316	67	539	4009
0	0	0	0	0
696	13466	1177	9011	8700
0	0	0	0	0
0	0	0	0	0
21	3504	0	0	0
17	0	0	217	13
1991	13959	9072	3647	4091
323	0	0	0	225
3114	0	0	0	0
0	613	0	0	0
53	0	0	0	0
0	0	0	0	0
0	1285	0	0	0
0	0	0	167	0
185	61	0	0	0
0	0	0	81	0
0	36	0	0	0
18058	1338	0	570	21218
0	0	0	0	0
60	4798	1542	6	1758
0	0	0	0	0
0	0	0	289	0
0	6	0	0	0
0	399	0	26637	11005
0	0	0	47	47
0	0	0	0	0
0	7507	0	281	0
0	358	382	0	0
0	20	0	1656	9
0	0	0	0	0
115	1853	2622	54	54
25	7268	1385	210	296
1238	139	0	0	0
309	0	0	1961	537
0	0	0	745	25
0	183	244	0	0
3178	6792	0	0	108
33	0	0	148	24
0	0	0	0	0
0	4	0	0	0
0	4420	5084	0	0
0	414	664	0	282
0	201	0	150	536
50	58	189	65	241
1369	0	0	0	0
0	1496	0	82	468
540	3258	17	330	521
0	2612	0	254	0
0	302	33	0	0
0	0	0	0	0
0	0	0	0	0
574	10246	3097	0	0
0	303	55	0	0
171	1822	4	0	0
0	0	0	0	0
40	0	0	0	0
0	0	0	0	0
169	5852	2288	0	0
0	0	0	0	0
208	14	0	4	14
0	0	0	0	0
0	0	0	1779	0
0	0	0	0	0
380	1270	0	0	0
533	2307	4021	266	572
0	2062	242	86	16
0	4288	3486	0	126
17	0	0	0	0
0	0	0	0	0
0	0	0	0	0
19	4490	1689	0	230
23	2312	0	126	0
293	6168	1553	231	410
0	0	0	0	65
0	354	0	0	0
0	0	0	0	0
0	4841	0	190	127
0	85	0	0	0
588	4453	0	0	3823
0	4	0	0	0
0	465	232	0	300
0	1306	23	0	0
0	124	0	0	0
1186	0	0	0	0
0	4302	788	0	0
0	0	0	98	0
0	0	0	0	0
0	0	0	11	0
0	1252	0	128	698
0	0	0	2825	39
806	4067	408	0	820
0	294	0	0	0
0	0	0	0	0
0	0	201	0	312
0	7233	490	290	417
800	0	0	0	46
0	0	0	0	0
3358	5639	2459	564	1167
0	0	0	63	50
60	5823	3749	381	205
0	1296	10	0	678
28	0	0	677	2
304	0	0	0	0
35	606	198	0	1222
0	5822	193	0	0
0	0	0	0	0
14	3347	214	542	294
0	180	0	16	0
0	0	0	0	0
139	5611	1356	67	114
0	0	0	0	0
720	0	0	0	0
60	33	260	14	34
0	0	0	1465	209
0	820	127	543	592
0	0	0	204	0
565	6905	260	243	1755
0	0	0	792	0
126	6517	2215	0	859
0	0	0	174	1446
0	967	0	34	269
0	0	0	120	0
0	0	0	0	0
0	0	0	0	0
7	2443	90	0	0
21	0	0	958	229
0	0	0	0	0
0	44	0	0	0
0	54	4	0	9
0	0	0	0	0
18	129	111	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
26	5067	765	77	1266
31	0	0	0	0
0	1490	0	0	0
0	0	0	0	0
67	770	0	16	77
0	755	1638	0	1001
0	0	0	0	0
0	0	0	451	0
5894	3447	3376	385	2315
529	4775	0	843	1808
0	708	311	15	0
7	6109	2930	0	0
319	4577	3237	408	2991
1892	7713	40	536	675
8929	0	0	0	0
1046	0	0	0	0
42	2550	0	0	0
2865	0	0	0	0
0	423	0	0	0
0	0	0	0	0
256	0	167	0	0
0	8085	0	0	0
959	204	178	9	35
0	4516	0	34	24
304	0	0	0	0
0	0	0	0	0
0	18	0	0	0
0	0	0	0	0
2258	0	0	0	0
0	0	0	0	0
13993	0	0	0	0
0	0	0	0	0
0	2815	0	0	0
0	6042	11	301	493
242	0	0	0	0
77	68	0	179	179
0	321	343	0	0
1124	0	0	0	0
0	4258	0	3572	5168
307	8988	0	0	12405
238	0	0	0	0
0	380	254	0	1520
0	7562	7766	90	30
1218	0	0	0	0
320	3755	768	0	672
287	5026	595	913	3331
389	0	0	153	203
78	1280	723	1176	7851
0	0	0	308	0
508	243	0	0	0
0	7473	0	817	8009
6004	0	0	0	0
0	0	0	121	0
85	0	0	0	0
0	0	0	523	0
0	601	0	0	0
0	2218	0	0	0
504	0	0	0	0
24	4035	8	0	504
0	3386	777	0	0
1	0	0	0	0
0	0	0	0	0
398	0	0	0	395
617	2556	417	0	700
24	0	50	0	0
0	0	0	178	0
197	3753	0	107	555
0	7190	1949	0	0
7	0	0	0	0
17	0	0	0	0
0	0	0	1244	44
14562	1996	0	82	5
580	184	0	170	179
3107	7500	317	407	1215
0	0	0	128	112
122	2743	1049	1936	4068
0	0	0	0	0
56	0	0	0	0
0	1183	4	186	1502
356	9875	591	712	843
0	6925	182	0	0
3	301	872	58	0
0	0	0	0	0
0	3105	2058	52	0
1753	422	686	0	186
0	0	0	0	0
17	525	0	0	0
30	0	0	0	0
139	5318	322	239	239
109	0	0	0	0
0	0	0	0	0
1552	0	0	0	0
0	2908	1701	169	521
2091	0	0	0	0
0	51	0	0	8
0	0	0	0	0
0	1293	55	0	1181
0	937	2174	8	1422
238	10665	1351	467	3391
0	1095	0	0	0
20	2193	0	59	1331
377	854	0	3	661
0	2	0	0	0
0	3809	0	0	0
0	0	0	601	0
0	0	0	0	0
15	621	4	0	0
0	0	0	0	0
0	0	0	150	92
3201	0	0	42	42
1014	11358	1554	0	455
